IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
1,The Shawshank Redemption,1994,R,2 hours 22 minutes,9.3,United States,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",English,"$25,000,000 (estimated)","$29,333,735","https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,R,2 hours 55 minutes,9.2,United States,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano","English, Italian, Latin","$6,000,000 (estimated)","$250,342,198","https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,PG-13,2 hours 32 minutes,9.0,United States,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal","English, Mandarin","$185,000,000 (estimated)","$1,012,558,979","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,R,3 hours 22 minutes,9.0,United States,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale","English, Italian, Spanish, Latin, Sicilian","$13,000,000 (estimated)","$47,983,687","https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,Approved,1 hour 36 minutes,9.0,United States,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",English,"$350,000 (estimated)","$2,945","https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,2003,PG-13,3 hours 21 minutes,9.0,New Zealand,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby","English, Quenya, Old English, Sindarin","$94,000,000 (estimated)","$1,138,585,547","https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0167260/
7,Schindler's List,1993,R,3 hours 15 minutes,9.0,United States,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall","English, Hebrew, German, Polish, Latin","$22,000,000 (estimated)","$322,161,245","https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,1994,R,2 hours 34 minutes,8.9,United States,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth","English, Spanish, French","$8,000,000 (estimated)","$213,928,762","https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2 hours 58 minutes,8.9,New Zealand,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard","English, Sindarin","$93,000,000 (estimated)","$888,483,037","https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0120737/
10,"The Good, the Bad and the Ugly",1966,R,2 hours 58 minutes,8.8,Italy,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli","Italian, English","$1,200,000 (estimated)","$25,266,106","https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0060196/
